id	value
0	25
1	75
2	125
3	175
4	226
5	276
6	326
7	376
8	427
9	477
10	527
11	578
12	628
13	678
14	728
15	779
16	829
17	879
18	929
19	980
20	1030
21	1080
22	1130
23	1181
24	1231
25	1281
26	1331
27	1382
28	1432
29	1482
30	1532
31	1583
32	1633
33	1683
34	1733
35	1784
36	1834
37	1884
38	1934
39	1985
40	2035
41	2085
42	2135
43	2186
44	2236
45	2286
46	2336
47	2387
48	2437
49	2487
50	2537
51	2587
52	2638
53	2688
54	2738
55	2788
56	2839
57	2889
58	2939
59	2989
60	3039
61	3090
62	3140
63	3190
64	3240
65	3291
66	3341
67	3391
68	3441
69	3491
70	3541
71	3592
72	3642
73	3692
74	3742
75	3792
76	3843
77	3893
78	3943
79	3993
80	4043
81	4093
82	4144
83	4194
84	4244
85	4294
86	4344
87	4394
88	4445
89	4495
90	4545
91	4595
92	4645
93	4695
94	4745
95	4796
96	4846
97	4896
98	4946
99	4996
100	5046
101	5096
102	5146
103	5197
104	5247
105	5297
106	5347
107	5397
108	5447
109	5497
110	5547
111	5597
112	5647
113	5697
114	5748
115	5798
116	5848
117	5898
118	5948
119	5998
120	6048
121	6098
122	6148
123	6198
124	6248
125	6298
126	6348
127	6398
128	6448
129	6498
130	6548
131	6598
132	6648
133	6698
134	6748
135	6798
136	6848
137	6898
138	6948
139	6998
140	7048
141	7098
142	7148
143	7198
144	7248
145	7298
146	7348
147	7398
148	7448
149	7498
150	7548
151	7598
152	7648
153	7697
154	7747
155	7797
156	7847
157	7897
158	7947
159	7997
160	8047
161	8097
162	8147
163	8196
164	8246
165	8296
166	8346
167	8396
168	8446
169	8496
170	8545
171	8595
172	8645
173	8695
174	8745
175	8794
176	8844
177	8894
178	8944
179	8994
180	9043
181	9093
182	9143
183	9193
184	9243
185	9292
186	9342
187	9392
188	9442
189	9491
190	9541
191	9591
192	9640
193	9690
194	9740
195	9790
196	9839
197	9889
198	9939
199	9988
200	10038
201	10088
202	10137
203	10187
204	10237
205	10286
206	10336
207	10386
208	10435
209	10485
210	10534
211	10584
212	10634
213	10683
214	10733
215	10782
216	10832
217	10882
218	10931
219	10981
220	11030
221	11080
222	11129
223	11179
224	11228
225	11278
226	11327
227	11377
228	11426
229	11476
230	11525
231	11575
232	11624
233	11674
234	11723
235	11773
236	11822
237	11872
238	11921
239	11970
240	12020
241	12069
242	12119
243	12168
244	12218
245	12267
246	12316
247	12366
248	12415
249	12464
250	12514
251	12563
252	12612
253	12662
254	12711
255	12760
256	12810
257	12859
258	12908
259	12957
260	13007
261	13056
262	13105
263	13154
264	13204
265	13253
266	13302
267	13351
268	13401
269	13450
270	13499
271	13548
272	13597
273	13647
274	13696
275	13745
276	13794
277	13843
278	13892
279	13941
280	13990
281	14040
282	14089
283	14138
284	14187
285	14236
286	14285
287	14334
288	14383
289	14432
290	14481
291	14530
292	14579
293	14628
294	14677
295	14726
296	14775
297	14824
298	14873
299	14922
300	14971
301	15020
302	15069
303	15118
304	15167
305	15215
306	15264
307	15313
308	15362
309	15411
310	15460
311	15509
312	15557
313	15606
314	15655
315	15704
316	15753
317	15802
318	15850
319	15899
320	15948
321	15997
322	16045
323	16094
324	16143
325	16191
326	16240
327	16289
328	16338
329	16386
330	16435
331	16484
332	16532
333	16581
334	16629
335	16678
336	16727
337	16775
338	16824
339	16872
340	16921
341	16970
342	17018
343	17067
344	17115
345	17164
346	17212
347	17261
348	17309
349	17358
350	17406
351	17455
352	17503
353	17551
354	17600
355	17648
356	17697
357	17745
358	17793
359	17842
360	17890
361	17939
362	17987
363	18035
364	18084
365	18132
366	18180
367	18228
368	18277
369	18325
370	18373
371	18421
372	18470
373	18518
374	18566
375	18614
376	18663
377	18711
378	18759
379	18807
380	18855
381	18903
382	18951
383	19000
384	19048
385	19096
386	19144
387	19192
388	19240
389	19288
390	19336
391	19384
392	19432
393	19480
394	19528
395	19576
396	19624
397	19672
398	19720
399	19768
400	19816
401	19864
402	19912
403	19959
404	20007
405	20055
406	20103
407	20151
408	20199
409	20246
410	20294
411	20342
412	20390
413	20438
414	20485
415	20533
416	20581
417	20629
418	20676
419	20724
420	20772
421	20819
422	20867
423	20915
424	20962
425	21010
426	21057
427	21105
428	21153
429	21200
430	21248
431	21295
432	21343
433	21390
434	21438
435	21485
436	21533
437	21580
438	21628
439	21675
440	21723
441	21770
442	21817
443	21865
444	21912
445	21960
446	22007
447	22054
448	22102
449	22149
450	22196
451	22243
452	22291
453	22338
454	22385
455	22433
456	22480
457	22527
458	22574
459	22621
460	22668
461	22716
462	22763
463	22810
464	22857
465	22904
466	22951
467	22998
468	23045
469	23092
470	23139
471	23186
472	23233
473	23280
474	23327
475	23374
476	23421
477	23468
478	23515
479	23562
480	23609
481	23656
482	23703
483	23750
484	23796
485	23843
486	23890
487	23937
488	23984
489	24030
490	24077
491	24124
492	24171
493	24217
494	24264
495	24311
496	24357
497	24404
498	24451
499	24497
500	24544
501	24591
502	24637
503	24684
504	24730
505	24777
506	24823
507	24870
508	24916
509	24963
510	25009
511	25056
512	25102
513	25149
514	25195
515	25241
516	25288
517	25334
518	25381
519	25427
520	25473
521	25520
522	25566
523	25612
524	25658
525	25705
526	25751
527	25797
528	25843
529	25889
530	25936
531	25982
532	26028
533	26074
534	26120
535	26166
536	26212
537	26258
538	26304
539	26350
540	26396
541	26442
542	26488
543	26534
544	26580
545	26626
546	26672
547	26718
548	26764
549	26810
550	26856
551	26902
552	26947
553	26993
554	27039
555	27085
556	27131
557	27176
558	27222
559	27268
560	27313
561	27359
562	27405
563	27450
564	27496
565	27542
566	27587
567	27633
568	27678
569	27724
570	27770
571	27815
572	27861
573	27906
574	27952
575	27997
576	28042
577	28088
578	28133
579	28179
580	28224
581	28269
582	28315
583	28360
584	28405
585	28451
586	28496
587	28541
588	28586
589	28632
590	28677
591	28722
592	28767
593	28812
594	28858
595	28903
596	28948
597	28993
598	29038
599	29083
600	29128
601	29173
602	29218
603	29263
604	29308
605	29353
606	29398
607	29443
608	29488
609	29533
610	29577
611	29622
612	29667
613	29712
614	29757
615	29801
616	29846
617	29891
618	29936
619	29980
620	30025
621	30070
622	30114
623	30159
624	30204
625	30248
626	30293
627	30337
628	30382
629	30426
630	30471
631	30515
632	30560
633	30604
634	30649
635	30693
636	30738
637	30782
638	30826
639	30871
640	30915
641	30959
642	31004
643	31048
644	31092
645	31136
646	31181
647	31225
648	31269
649	31313
650	31357
651	31402
652	31446
653	31490
654	31534
655	31578
656	31622
657	31666
658	31710
659	31754
660	31798
661	31842
662	31886
663	31930
664	31974
665	32017
666	32061
667	32105
668	32149
669	32193
670	32236
671	32280
672	32324
673	32368
674	32411
675	32455
676	32499
677	32542
678	32586
679	32630
680	32673
681	32717
682	32760
683	32804
684	32847
685	32891
686	32934
687	32978
688	33021
689	33065
690	33108
691	33151
692	33195
693	33238
694	33281
695	33325
696	33368
697	33411
698	33454
699	33498
700	33541
701	33584
702	33627
703	33670
704	33713
705	33756
706	33799
707	33843
708	33886
709	33929
710	33972
711	34015
712	34057
713	34100
714	34143
715	34186
716	34229
717	34272
718	34315
719	34358
720	34400
721	34443
722	34486
723	34529
724	34571
725	34614
726	34657
727	34699
728	34742
729	34785
730	34827
731	34870
732	34912
733	34955
734	34997
735	35040
736	35082
737	35125
738	35167
739	35210
740	35252
741	35294
742	35337
743	35379
744	35421
745	35464
746	35506
747	35548
748	35590
749	35633
750	35675
751	35717
752	35759
753	35801
754	35843
755	35885
756	35927
757	35969
758	36011
759	36053
760	36095
761	36137
762	36179
763	36221
764	36263
765	36305
766	36347
767	36388
768	36430
769	36472
770	36514
771	36555
772	36597
773	36639
774	36681
775	36722
776	36764
777	36805
778	36847
779	36889
780	36930
781	36972
782	37013
783	37055
784	37096
785	37137
786	37179
787	37220
788	37262
789	37303
790	37344
791	37386
792	37427
793	37468
794	37509
795	37551
796	37592
797	37633
798	37674
799	37715
800	37756
801	37797
802	37838
803	37879
804	37920
805	37961
806	38002
807	38043
808	38084
809	38125
810	38166
811	38207
812	38248
813	38288
814	38329
815	38370
816	38411
817	38451
818	38492
819	38533
820	38573
821	38614
822	38655
823	38695
824	38736
825	38776
826	38817
827	38857
828	38898
829	38938
830	38979
831	39019
832	39059
833	39100
834	39140
835	39180
836	39221
837	39261
838	39301
839	39341
