id	value
0	0
1	333772
2	667544
3	1001315
4	1335086
5	1668857
6	2002626
7	2336395
8	2670163
9	3003929
10	3337694
11	3671457
12	4005219
13	4338979
14	4672736
15	5006492
16	5340245
17	5673995
18	6007743
19	6341488
20	6675230
21	7008968
22	7342704
23	7676435
24	8010164
25	8343888
26	8677609
27	9011325
28	9345037
29	9678744
30	10012447
31	10346145
32	10679838
33	11013526
34	11347209
35	11680887
36	12014558
37	12348225
38	12681885
39	13015539
40	13349187
41	13682829
42	14016464
43	14350092
44	14683714
45	15017328
46	15350936
47	15684536
48	16018129
49	16351714
50	16685291
51	17018860
52	17352422
53	17685974
54	18019518
55	18353054
56	18686582
57	19020100
58	19353610
59	19687110
60	20020600
61	20354080
62	20687552
63	21021014
64	21354466
65	21687906
66	22021338
67	22354758
68	22688168
69	23021568
70	23354956
71	23688332
72	24021698
73	24355052
74	24688396
75	25021726
76	25355046
77	25688352
78	26021648
79	26354930
80	26688200
81	27021456
82	27354702
83	27687932
84	28021150
85	28354356
86	28687548
87	29020724
88	29353888
89	29687038
90	30020174
91	30353296
92	30686404
93	31019496
94	31352574
95	31685636
96	32018684
97	32351718
98	32684734
99	33017736
100	33350722
101	33683692
102	34016648
103	34349584
104	34682508
105	35015412
106	35348300
107	35681172
108	36014028
109	36346868
110	36679688
111	37012492
112	37345276
113	37678044
114	38010792
115	38343524
116	38676240
117	39008936
118	39341612
119	39674272
120	40006912
121	40339532
122	40672132
123	41004716
124	41337276
125	41669820
126	42002344
127	42334848
128	42667332
129	42999796
130	43332236
131	43664660
132	43997060
133	44329444
134	44661800
135	44994140
136	45326456
137	45658752
138	45991028
139	46323280
140	46655512
141	46987720
142	47319908
143	47652072
144	47984212
145	48316332
146	48648428
147	48980500
148	49312548
149	49644576
150	49976580
151	50308556
152	50640512
153	50972444
154	51304352
155	51636236
156	51968096
157	52299928
158	52631740
159	52963524
160	53295284
161	53627020
162	53958728
163	54290412
164	54622068
165	54953704
166	55285308
167	55616888
168	55948444
169	56279972
170	56611472
171	56942948
172	57274396
173	57605816
174	57937212
175	58268576
176	58599916
177	58931228
178	59262512
179	59593768
180	59924992
181	60256192
182	60587364
183	60918508
184	61249620
185	61580704
186	61911760
187	62242788
188	62573788
189	62904756
190	63235692
191	63566604
192	63897480
193	64228332
194	64559148
195	64889940
196	65220696
197	65551424
198	65882120
199	66212788
200	66543420
201	66874024
202	67204600
203	67535136
204	67865648
205	68196120
206	68526568
207	68856984
208	69187360
209	69517712
210	69848024
211	70178304
212	70508560
213	70838776
214	71168960
215	71499112
216	71829224
217	72159312
218	72489360
219	72819376
220	73149360
221	73479304
222	73809216
223	74139096
224	74468936
225	74798744
226	75128520
227	75458264
228	75787968
229	76117632
230	76447264
231	76776864
232	77106424
233	77435952
234	77765440
235	78094888
236	78424304
237	78753688
238	79083032
239	79412336
240	79741608
241	80070840
242	80400032
243	80729192
244	81058312
245	81387392
246	81716432
247	82045440
248	82374408
249	82703336
250	83032224
251	83361080
252	83689896
253	84018664
254	84347400
255	84676096
256	85004760
257	85333376
258	85661952
259	85990488
260	86318984
261	86647448
262	86975864
263	87304240
264	87632576
265	87960872
266	88289128
267	88617344
268	88945520
269	89273648
270	89601736
271	89929792
272	90257792
273	90585760
274	90913688
275	91241568
276	91569408
277	91897200
278	92224960
279	92552672
280	92880336
281	93207968
282	93535552
283	93863088
284	94190584
285	94518040
286	94845448
287	95172816
288	95500136
289	95827416
290	96154648
291	96481832
292	96808976
293	97136080
294	97463136
295	97790144
296	98117112
297	98444032
298	98770904
299	99097736
300	99424520
301	99751256
302	100077944
303	100404592
304	100731192
305	101057744
306	101384248
